idMvt;conf;xsaisi;ysaisi;epsg;num_insee;commune;dateDebut;lieu_dit;typeMvt;libelleType;fiabiliteType;libelleFiabilite;PrecDate;libelleDate;prec_xy;libellePrec;longitudeDoublePrec;latitudeDoublePrec;
"63300156";;"366382";"2012149";"27572";"33182";"GAURIAC";"1985-01-01";"Marmisson";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.629721485432770955";"45.0702583917667994";
"63300157";;"367323";"2010794";"27572";"33182";"GAURIAC";"1985-02-01";"Vitescale";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.617138392272091996";"45.0583973167962029";
"63300076";;"373698";"2007871";"27572";"33067";"BOURG";"1994-01-01";"Les Justices";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.534929409764510977";"45.0342475520828032";
"10200024";;"394819.700000000012";"1957690.5";"27572";"33543";"VERDELAIS";"1998-03-01";"Le Luc";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"2";"Décamètre";"-0.246201865860390001";"44.5897671322681006";
"20300003";;"383099.299999999988";"1998279.10000000009";"27572";"33016";"ASQUES";"1987-02-01";"le bourg";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.41148754999999998";"44.9510459999999981";
"10200332";;"375739";"1976539";"27572";"33349";"QUINSAC";"2018-03-30";"Les Clottes";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.494730000000000003";"44.7532799999999966";
"63300276";;"381869.400000000023";"1972185.75";"27572";"33518";"TABANAC";"1984-01-01";"Rouquey Est";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"2";"Décamètre";"-0.415485231937518018";"44.7161116364917035";
"63300107";;"367450";"2019000";"27572";"33100";"CARS";"2004-01-01";"Bourg";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.619444466843996011";"45.1322033941587009";
"20300171";;"384094.099999999977";"1970347.39999999991";"27572";"33226";"LANGOIRAN";"1985-02-01";"pied du château";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"5";"Commune";"-0.386632440000000022";"44.7002799999999993";
"63300101";;"376991";"1974754";"27572";"33084";"CAMBES";"2000-01-01";"Esconac";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.478136368769124021";"44.737640063554899";
"63300099";;"378445";"1973776";"27572";"33084";"CAMBES";"1987-09-01";"La Tuilière";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.45936132246549799";"44.7293162694995985";
"63300158";;"366652";"2011763";"27572";"33182";"GAURIAC";"1986-01-01";"Poyanne";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.626111819558132998";"45.0668803143866015";
"10200968";;"-0.629610000000000003";"45.0795699999999968";"4326";"33551";"VILLENEUVE";;"les Allants";"2";"Chute de blocs / Eboulement";"2";"Moyen";"0";"Inconnue";"2";"Décamètre";"-0.629610000000000003";"45.0795699999999968";
"63300129";;"423407";"1966069";"27572";"33150";"DIEULIVOL";"1950-01-01";"Le Bourg";"2";"Chute de blocs / Eboulement";"1";"Fort";"8";"Récurrent";"2";"Décamètre";"0.110450036668030993";"44.6729554388193009";
"63300096";;"377928";"1974261";"27572";"33084";"CAMBES";"1977-03-01";"Bourg";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.466098294977551009";"44.7335099908842011";
"63300095";;"378246";"1974404";"27572";"33084";"CAMBES";"1960-01-01";"Ramonet";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.462152625778403991";"44.7348972355922996";
"63300233";;"375458";"1981601";"27572";"33234";"LATRESNE";"1997-01-01";"Chibau";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.500587097884018006";"44.7986875297835994";
"63300083";;"369647";"2008913";"27572";"33067";"BOURG";"1900-01-01";"Pain de Sucre";"2";"Chute de blocs / Eboulement";"1";"Fort";"8";"Récurrent";"3";"Hectomètre";"-0.58677609070152803";"45.0422708153544988";
"63300057";;"371892";"2008501";"27572";"33067";"BOURG";"1910-03-01";"La Ville Basse";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"2";"Décamètre";"-0.558118946028985041";"45.0393147630523032";
"63300056";;"369999";"2008839";"27572";"33067";"BOURG";"1882-01-01";"Pain-de-Sucre";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.582278224154829993";"45.0417233090863007";
"63300237";;"375468";"1981429";"27572";"33234";"LATRESNE";"2006-02-27";"Chibau";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.500382429363542047";"44.7971447690419993";
"63300055";;"371616";"2008444";"27572";"33067";"BOURG";"1595-02-01";"La Citadelle";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.561591527304398985";"45.0387109024923973";
"63300320";;"402933";"1990977.625";"27572";"33394";"SAINT-EMILION";"1992-04-02";"Rue des Douves";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.157441723274152012";"44.8913614846594982";
"63300160";;"365892";"2012616";"27572";"33182";"GAURIAC";"1988-02-01";"La Roque de Thau - Le Mugron";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"3";"Hectomètre";"-0.63616135402395102";"45.0742896377374009";
"20300142";;"366193.200000000012";"2012386";"27572";"33182";"GAURIAC";"2001-02-17";"Marmisson";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.632232600000000033";"45.0723229999999973";
"20300047";;"397580.099999999977";"1939271.5";"27572";"33036";"BAZAS";"1991-01-01";"haoua (n°86)";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"3";"Hectomètre";"-0.203990890000000008";"44.4250299999999996";
"20300178";;"384750";"1969970";"27572";"33226";"LANGOIRAN";"1890-01-01";"banastrayre (château lataste)";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"5";"Commune";"-0.378200800000000004";"44.6970939999999999";
"63300080";;"371674";"2008464";"27572";"33067";"BOURG";"2002-01-15";"La Citadelle";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.56086553986251797";"45.0389099171417016";
"63300053";;"375367";"1982740";"27572";"33065";"BOULIAC";"2004-01-01";"Côte du Piquet";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"2";"Décamètre";"-0.502255591355832975";"44.8088958013151029";
"63300150";;"366399";"2012133";"27572";"33182";"GAURIAC";"1979-01-01";"Marmisson";"2";"Chute de blocs / Eboulement";"1";"Fort";"4";"Année";"2";"Décamètre";"-0.629498174935649968";"45.0701203417065983";
"63300051";;"363591";"2018907";"27572";"33058";"BLAYE";"2006-02-26";"Citadelle";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"3";"Hectomètre";"-0.66840452708759801";"45.1300511145254006";
"63300082";;"370276";"2008831";"27572";"33067";"BOURG";"1900-01-01";"Brangette";"2";"Chute de blocs / Eboulement";"1";"Fort";"0";"Inconnue";"3";"Hectomètre";"-0.57876241129567596";"45.0417438713078013";
"63300143";;"365855";"2012683";"27572";"33182";"GAURIAC";"1931-02-01";"Roque de Thau - Le Mugron";"2";"Chute de blocs / Eboulement";"1";"Fort";"2";"Mois";"2";"Décamètre";"-0.636662908291166008";"45.0748792976854986";
"63300050";;"410057";"1975535";"27572";"33057";"BLASIMON";"2005-12-31";"Montauban";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.0613781073081290998";"44.7545229546428018";
"10200298";;"423916";"6411577";"2154";"33349";"QUINSAC";"2016-02-15";"route départementale n°10";"2";"Chute de blocs / Eboulement";"1";"Fort";"1";"Jour";"2";"Décamètre";"-0.489099999999999979";"44.748420000000003";
